Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,186.4375,-119.8625,0.0,top
C10,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,178.515,-94.9875,90.0,top
C11,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,177.025,-94.9875,90.0,top
C12,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,173.2,-95.8575,90.0,top
C13,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,171.7,-95.8575,90.0,top
C14,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,185.45,-102.5875,90.0,top
C15,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,186.95,-102.5875,90.0,top
C16,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,167.9,-102.2,90.0,top
C17,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,174.3,-113.1,-90.0,top
C18,16pf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,182.5675,-112.6,0.0,top
C19,16pf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,186.6,-109.6675,-90.0,top
C2,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,185.7375,-117.4625,0.0,top
C20,100nf,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,143.205,-133.9975,90.0,top
C21,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,138.29,-134.125,180.0,top
C22,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,138.29,-130.625,180.0,top
C23,100nf,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.28,-128.125,0.0,top
C24,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,150.8425,-128.975,0.0,top
C25,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,150.8425,-132.275,0.0,top
C26,100nf,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,149.915,-126.875,180.0,top
C27,22pf,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.8425,-135.1025,90.0,top
C28,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,145.98,-113.6875,-90.0,top
C29,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,142.78,-113.6875,-90.0,top
C3,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.3375,-120.7625,180.0,top
C30,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,159.98,-114.9875,-90.0,top
C31,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,156.78,-114.9875,-90.0,top
C32,100nf,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,140.68,-112.6975,90.0,top
C33,100nf,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.68,-112.6975,90.0,top
C34,1uf,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,140.05,-118.4925,180.0,top
C35,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,142.78,-119.6625,90.0,top
C36,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,145.98,-119.6625,90.0,top
C37,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,156.78,-119.9875,90.0,top
C38,47uf,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,159.98,-119.9875,90.0,top
C39,1uf,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.1,-105.6,180.0,top
C4,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,183.8,-95.85,90.0,top
C5,100nf,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,185.1,-97.3325,-90.0,top
C6,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,169.4,-102.2,90.0,top
C7,1uF,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,178.3,-110.9125,-90.0,top
C8,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,175.8,-113.1,-90.0,top
C9,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,182.3,-95.8575,90.0,top
CN1,1nF,R_Array_Convex_4x0603,170.1,-89.4,90.0,top
CN2,1nF,R_Array_Concave_4x0603,175.0,-89.45,90.0,top
CN3,1nF,R_Array_Concave_4x0603,180.15,-89.45,90.0,top
CN4,1nF,R_Array_Concave_4x0603,185.2,-89.45,90.0,top
D1,SS14,D_SMA,137.48,-139.425,-90.0,top
IC1,AD7771BCPZ,QFN-64-1EP_9x9mm_P0.5mm_EP7.35x7.35mm,177.6,-102.85,0.0,top
J1,DE15_Plug_HighDensity_MountingHoles,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,140.0,-90.84,-90.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_Palconn_UTC16-G,141.28,-146.725,0.0,top
J3,DE9_Plug_MountingHoles,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,178.6,-77.63,180.0,top
J5,Conn_01x03,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",152.3,-73.3,180.0,top
J7,Conn_01x02_Socket,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,167.575,-145.6625,-90.0,top
J8,Conn_01x02_Socket,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,175.075,-145.6625,-90.0,top
J9,Conn_01x02_Socket,JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,182.575,-145.6625,-90.0,top
L1,WPN4020H4R7MT,L_Vishay_IFSC-1515AH_4x4x1.8mm,145.8425,-129.375,0.0,top
Q1,BC817,SOT-23,146.7625,-105.25,180.0,top
Q10,BC807,SOT-23,150.6625,-91.25,180.0,top
Q11,BC817,SOT-23,146.7625,-87.75,180.0,top
Q12,BC807,SOT-23,150.6625,-87.75,180.0,top
Q13,BC817,SOT-23,146.7625,-84.25,180.0,top
Q14,BC807,SOT-23,150.6625,-84.25,180.0,top
Q15,BC817,SOT-23,146.7625,-80.75,180.0,top
Q16,BC807,SOT-23,150.6625,-80.75,180.0,top
Q2,BC807,SOT-23,150.6625,-105.25,180.0,top
Q3,BC817,SOT-23,146.7625,-101.75,180.0,top
Q4,BC807,SOT-23,150.6625,-101.75,180.0,top
Q5,BC817,SOT-23,146.7625,-98.25,180.0,top
Q6,BC807,SOT-23,150.6625,-98.25,180.0,top
Q7,BC817,SOT-23,146.7625,-94.75,180.0,top
Q8,BC807,SOT-23,150.6625,-94.75,180.0,top
Q9,BC817,SOT-23,146.7625,-91.25,180.0,top
R1,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,182.68,-120.7625,180.0,top
R10,1k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.7925,-122.925,0.0,top
R11,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.2025,-94.70125,180.0,top
R12,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.2025,-97.30125,180.0,top
R13,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.2,-97.30125,0.0,top
R14,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.2025,-94.70125,0.0,top
R15,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.8,-93.10125,-90.0,top
R16,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.8,-98.90125,90.0,top
R17,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.6,-98.90125,90.0,top
R18,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.6,-93.05125,-90.0,top
R19,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.2025,-85.25,180.0,top
R20,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.2,-87.75,180.0,top
R21,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.2975,-87.85,0.0,top
R22,1K5,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,165.2975,-85.25,0.0,top
R23,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.8,-83.5525,-90.0,top
R24,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,155.8,-89.4475,90.0,top
R25,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.7,-89.55,90.0,top
R26,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,164.7,-83.55,-90.0,top
R28,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.8025,-108.7,0.0,top
R29,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.8025,-106.7,0.0,top
R30,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,163.8025,-107.7,0.0,top
R33,4k7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,172.98,-117.2625,90.0,top
R34,4k7,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,171.48,-117.265,90.0,top
R4,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.9025,-135.625,180.0,top
R5,1k2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.7675,-110.525,0.0,top
R6,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,150.8425,-135.0725,90.0,top
R7,33.2K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.8425,-135.075,-90.0,top
R8,390,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.755,-109.025,180.0,top
R9,390,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.7925,-124.425,180.0,top
RN1,2.2K,R_Array_Concave_4x0603,170.1,-86.3,90.0,top
RN2,2.2K,R_Array_Concave_4x0603,175.0,-86.3,90.0,top
RN3,2.2K,R_Array_Concave_4x0603,180.15,-86.3,90.0,top
RN4,2.2K,R_Array_Concave_4x0603,185.2,-86.3,90.0,top
Rcc1,5.1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,142.98,-141.8275,-90.0,top
Rcc2,5.1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.88,-141.8275,-90.0,top
U1,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1,175.29,-131.5125,-90.0,top
U10,LM324,TSSOP-14_4.4x5mm_P0.65mm,160.2375,-95.95125,0.0,top
U11,LM324,TSSOP-14_4.4x5mm_P0.65mm,160.2375,-86.5,0.0,top
U12,DAC5578xPW,TSSOP-16_4.4x5mm_P0.65mm,161.6875,-103.1,0.0,top
U2,TPD4E001DRLR,Texas_R-PDSO-N6_DRL-6,170.1,-83.6,0.0,top
U3,TPD4E001DRLR,Texas_R-PDSO-N6_DRL-6,175.1,-83.6,0.0,top
U4,TPD4E001DRLR,Texas_R-PDSO-N6_DRL-6,180.1,-83.6,0.0,top
U5,TPD4E001DRLR,Texas_R-PDSO-N6_DRL-6,185.1,-83.6,0.0,top
U6,LM317L_SO8,SOIC-8_3.9x4.9mm_P1.27mm,151.355,-114.03,0.0,top
U7,TPS563200,SOT-23-6,145.805,-133.425,0.0,top
U8,LM2776,SOT-23-6,139.455,-115.93,-90.0,top
U9,LM337L_SO8,SOIC-8_3.9x4.9mm_P1.27mm,151.355,-119.43,0.0,top
Y1,Crystal_GND24,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,183.6,-110.1,0.0,top
