Designator,Mid X,Mid Y,Rotation,Layer
C1,186.8425,-119.8625,0.0,top
C10,178.5,-95.8575,90.0,top
C11,177.01,-95.8575,90.0,top
C12,173.2,-95.8575,90.0,top
C13,171.7,-95.8575,90.0,top
C14,183.6,-102.1825,90.0,top
C15,185.1,-102.1825,90.0,top
C16,169.8,-102.2125,90.0,top
C17,174.4,-110.2125,270.0,top
C18,182.5675,-112.6,0.0,top
C19,186.6,-109.6675,270.0,top
C2,186.1425,-117.4625,0.0,top
C20,143.205,-133.9975,90.0,top
C21,138.29,-134.125,180.0,top
C22,138.29,-130.625,180.0,top
C23,139.28,-128.125,0.0,top
C24,150.8425,-128.975,0.0,top
C25,150.8425,-132.275,0.0,top
C26,149.915,-126.875,180.0,top
C27,148.8425,-135.1025,90.0,top
C28,145.98,-113.6875,270.0,top
C29,142.78,-113.6875,270.0,top
C3,179.3375,-120.7625,180.0,top
C30,159.98,-114.9875,270.0,top
C31,156.78,-114.9875,270.0,top
C32,140.68,-112.6975,90.0,top
C33,139.68,-112.6975,90.0,top
C34,140.05,-118.4925,180.0,top
C35,142.78,-119.6625,90.0,top
C36,145.98,-119.6625,90.0,top
C37,156.78,-119.9875,90.0,top
C38,159.98,-119.9875,90.0,top
C39,156.1,-105.6,180.0,top
C4,183.8,-95.85,90.0,top
C5,185.7675,-98.35,0.0,top
C6,171.3,-102.2125,90.0,top
C7,178.3,-110.9125,270.0,top
C8,175.9,-110.2125,270.0,top
C9,182.3,-95.8575,90.0,top
CN1,170.1,-89.4,180.0,top
CN2,175.0,-89.45,180.0,top
CN3,180.15,-89.45,180.0,top
CN4,185.2,-89.45,180.0,top
D1,137.48,-139.425,270.0,top
IC1,177.6,-102.85,90.0,top
J1,140.0,-90.84,270.0,top
J2,141.28,-146.725,0.0,top
J3,178.6,-77.63,180.0,top
J5,152.3,-73.3,180.0,top
J7,167.575,-145.6625,270.0,top
J8,175.075,-145.6625,270.0,top
J9,182.575,-145.6625,270.0,top
L1,145.8425,-129.375,0.0,top
Q1,146.7625,-105.25,0.0,top
Q10,150.6625,-91.25,0.0,top
Q11,146.7625,-87.75,0.0,top
Q12,150.6625,-87.75,0.0,top
Q13,146.7625,-84.25,0.0,top
Q14,150.6625,-84.25,0.0,top
Q15,146.7625,-80.75,0.0,top
Q16,150.6625,-80.75,0.0,top
Q2,150.6625,-105.25,0.0,top
Q3,146.7625,-101.75,0.0,top
Q4,150.6625,-101.75,0.0,top
Q5,146.7625,-98.25,0.0,top
Q6,150.6625,-98.25,0.0,top
Q7,146.7625,-94.75,0.0,top
Q8,150.6625,-94.75,0.0,top
Q9,146.7625,-91.25,0.0,top
R1,182.68,-120.7625,180.0,top
R10,149.7925,-122.925,0.0,top
R11,155.2025,-94.70125,180.0,top
R12,155.2025,-97.30125,180.0,top
R13,165.2,-97.30125,0.0,top
R14,165.2025,-94.70125,0.0,top
R15,155.8,-93.10125,270.0,top
R16,155.8,-98.90125,90.0,top
R17,164.6,-98.90125,90.0,top
R18,164.6,-93.05125,270.0,top
R19,155.2025,-85.25,180.0,top
R2,189.0125,-98.62,180.0,top
R20,155.2,-87.75,180.0,top
R21,165.2975,-87.85,0.0,top
R22,165.2975,-85.25,0.0,top
R23,155.8,-83.5525,270.0,top
R24,155.8,-89.4475,90.0,top
R25,164.7,-89.55,90.0,top
R26,164.7,-83.55,270.0,top
R28,163.8025,-108.7,0.0,top
R29,163.8025,-106.7,0.0,top
R3,189.0125,-100.12,0.0,top
R30,163.8025,-107.7,0.0,top
R33,172.98,-117.2625,90.0,top
R34,171.48,-117.265,90.0,top
R4,144.9025,-135.625,180.0,top
R5,149.7675,-110.525,0.0,top
R6,150.8425,-135.0725,90.0,top
R7,149.8425,-135.075,270.0,top
R8,149.755,-109.025,180.0,top
R9,149.7925,-124.425,180.0,top
RCC1,142.98,-141.8275,270.0,top
RCC2,139.88,-141.8275,270.0,top
RN1,170.1,-86.3,180.0,top
RN2,175.0,-86.3,180.0,top
RN3,180.15,-86.3,180.0,top
RN4,185.2,-86.3,180.0,top
RV1,188.34,-95.42,180.0,top
U1,176.06,-131.5125,270.0,top
U10,160.2375,-95.95125,270.0,top
U11,160.2375,-86.5,270.0,top
U12,161.6875,-103.1,270.0,top
U2,170.1,-83.6,0.0,top
U3,175.1,-83.6,0.0,top
U4,180.1,-83.6,0.0,top
U5,185.1,-83.6,0.0,top
U6,151.355,-114.03,270.0,top
U7,145.805,-133.425,180.0,top
U8,139.455,-115.93,90.0,top
U9,151.355,-119.43,270.0,top
Y1,183.6,-110.1,0.0,top
